"Depth_mm","Core.Y..mm.","RMean","RABD620","RABD670","RABD715","RABD845","Chla_calibrated","Bphe_calibrated","depth_VT","mean_VT"
10989,0,0.0988631,1.00824,1.01762,0.999972,0.992648,8.82733479843193,1.13249733246866,10989,11750
10990,1.00000000000081,0.0982651056422571,1.00841971188475,1.0172006242497,1.00008951020408,0.991491081632653,8.63121584164263,0.980600255306485,10990,11751
10991,1.9999999999998,0.0995966985594237,1.00771990396158,1.01831894357743,0.999550768307323,0.991394076830732,9.15419224110174,0.967864053428822,10991,11752
10992,3.0000000000006,0.0968124864345727,1.00813942376951,1.01789855942377,0.999249012004801,0.991562907563026,8.95760170955984,0.99003060855867,10992,11753
10993,3.99999999999959,0.0986509040816315,1.00794769507803,1.01712673469388,0.999613959183673,0.99167405882353,8.5966617631217,1.00462416335906,10993,11754
10994,5.0000000000004,0.0992001879951977,1.00642807923169,1.01646567827131,1.00028432172869,0.99106281512605,8.28752205754474,0.924371196769973,10994,11755
10995,5.99999999999939,0.0982901256902759,1.00696057623049,1.01724403361344,1.00073798319328,0.990477905162065,8.65151601189828,0.84757570588664,10995,11756
10996,7.0000000000002,0.097794231092437,1.00710428571429,1.01848529411765,1.00052831932773,0.99066612605042,9.23198523315046,0.872288082843323,10996,11757
10997,7.99999999999926,0.0991295690276088,1.00685230492197,1.01793924369748,1.00062,0.990451236494599,8.97662750519195,0.844074255175633,10997,11758
10998,9,0.102908523409364,1.00669006002401,1.01684394957983,1.00007490036014,0.990422382953181,8.46441872922464,0.840285942420977,10998,11759
10999,10.0000000000008,0.110010315726292,1.00753,1.01737096038415,1.00006048019208,0.990418378151262,8.71087267675668,0.839760133752556,10999,11760
11000,10.9999999999998,0.108770583433374,1.00722792316927,1.01788528211284,1.00036947178872,0.991059025210084,8.95139264199802,0.923873601456238,11000,11761
11001,12.0000000000006,0.106346085234093,1.00769267707083,1.01707288115246,1.00000008883553,0.991424654261705,8.57147742579503,0.971878703487908,11001,11762
11002,12.9999999999996,0.10554556422569,1.0080918847539,1.0171906362545,0.999610870348139,0.991319116446578,8.62654500600806,0.958022163475862,11002,11763
11003,14.0000000000004,0.108390084033615,1.00632210084034,1.01602142857143,0.99978574789916,0.990896134453782,8.07977092355093,0.902486932804958,11003,11764
11004,14.9999999999994,0.107877786314529,1.0065755942377,1.01511911164466,0.999953576230492,0.991178720288115,7.65780695866902,0.939588912939603,11004,11765
11005,16.0000000000002,0.100087834813924,1.00633230492197,1.01550923169268,0.999436853541416,0.991221072028812,7.84024463367812,0.945149465702975,11005,11766
11006,16.9999999999993,0.0922702387755142,1.00676265306123,1.01467836734694,0.999619938775509,0.991230204081633,7.45169510833363,0.946348454474488,11006,11767
11007,18,0.0899980774309724,1.00634432172869,1.01467444177671,0.999596271308523,0.991336088835534,7.44985933519365,0.960250545657066,11007,11768
11008,19.0000000000008,0.0925903177671111,1.00700905162065,1.01340266506602,0.999890082833136,0.991713595438174,6.85511936372164,1.00981510541243,11008,11769
11009,19.9999999999998,0.0971531326530606,1.00618632653061,1.01333152460984,1.0006355942377,0.990041728691477,6.8218508877981,0.790308112183168,11009,11770
11010,21.0000000000006,0.100314411764708,1.00533605042017,1.01377504201681,1.00021815126051,0.990097974789916,7.02925956869971,0.797692918402703,11010,11771
