"age_calBP";"Age [ka b2k]";"T_GDGT_MAF"
-3.8;0.0462;8.62
92.8;0.1428;8.08
125;0.175;8.19
189.4;0.2394;8.41
253.8;0.3038;9
318.2;0.3682;8.88
414.8;0.4648;7.92
511.4;0.5614;8.42
575.8;0.6258;8.56
636.4;0.6864;11.46
650.6;0.7006;11.3
679;0.729;10.68
693.2;0.7432;11.36
932.5;0.9825;11.11
1686.4;1.7364;10.34
2408.6;2.4586;11.65
3027.7;3.0777;11.04
3234.1;3.2841;11.1
3750;3.8;13.17
4221.4;4.2714;12.27
4850;4.9;10.68
5478.6;5.5286;12.87
5792.9;5.8429;13.66
6544.6;6.5946;12.09
7337.4;7.3874;12.65
8130.2;8.1802;12.13
8447.4;8.4974;13.21
8855.7;8.9057;14.21
9314.3;9.3643;13.3
9467.1;9.5171;13.54
9620;9.67;11.84
9925.7;9.9757;10.62
10231.4;10.2814;11.14
10384.3;10.4343;10.31
10690;10.74;10.77
11332;11.382;8.11
12181.5;12.2315;7.92
12710;12.76;8.43
12907.3;12.9573;10.27
13054.5;13.1045;10.13
13199.8;13.2498;9.31
13296.7;13.3467;8.26
13800;13.85;11.16
14037.18;14.08718;10.82
14155.77;14.20577;10.06
14267.3;14.3173;9.94
14565.4;14.6154;9.21
14777.1;14.8271;7.63
15147.6;15.1976;6.41
15414;15.464;8.05
15500.9;15.5509;7.57
16072.8;16.1228;7.55
16644.8;16.6948;6.42
16930.7;16.9807;5.79
17502.6;17.5526;7.24
17788.6;17.8386;7.28
18360.5;18.4105;6.5
18932.5;18.9825;7.65
19218.4;19.2684;7.49
19790.4;19.8404;6.22
20076.3;20.1263;7.15
20648.3;20.6983;7.41
21220.2;21.2702;6.52
21792.1;21.8421;7.48
22364;22.414;9.3
22650;22.7;10.64
23377.3;23.4273;6.77
23522.7;23.5727;4.69
23668.2;23.7182;6.45
23813.6;23.8636;6.32
24104.5;24.1545;6.48
24250;24.3;6.44
24395.5;24.4455;5.96
24540.9;24.5909;6.23
24803.5;24.8535;6.59
25095.5;25.1455;6.27
25387.4;25.4374;6.45
25679.4;25.7294;6.36
25971.3;26.0213;6.05
26263.2;26.3132;6.37
26427.6;26.4776;6.22
26617.9;26.6679;5.56
26665.4;26.7154;5.89
26776.4;26.8264;6.21
26887.4;26.9374;5.97
26998.4;27.0484;5.44
27141.1;27.1911;6.38
27220.4;27.2704;5.97
27299.7;27.3497;6.21
27379;27.429;6.36
27458.3;27.5083;6.09
27524.3;27.5743;6.42
27592.9;27.6429;6.25
27753.3;27.8033;6.42
27870;27.92;6.31
27986.7;28.0367;6.33
28026;28.076;5.72
28046;28.096;NA
28125;28.175;7.16
28217.5;28.2675;7.29
28305;28.355;6.64
28392.5;28.4425;6.44
28480;28.53;6.78
28625;28.675;6.34
28700;28.75;6.2
28850;28.9;6.81
28890.6;28.9406;6.61
28992;29.042;6.78
29093.5;29.1435;7.05
29194.9;29.2449;7.68
29296.4;29.3464;8.22
29397.8;29.4478;7.7
29499.3;29.5493;7.42
29600.7;29.6507;8.13
29702.2;29.7522;7.42
29803.6;29.8536;7.59
29905.1;29.9551;7.64
30108;30.158;7.37
30209.4;30.2594;8.08
30404.2;30.4542;6.95
30514.3;30.5643;7.26
30734.6;30.7846;7
30954.8;31.0048;6.33
31175.1;31.2251;7.01
31285.2;31.3352;6.9
