"age";"depth";"Betula";"Juniperus";"Picea";"Pinus";"Salix";"NAP";"AP"
0;0;4.70852018;0.11210762;4.48430493;9.52914798;1.56950673;50.4484305;49.5515695
30;0.1;4.21052632;0;3.08270677;5.71428571;0.45112782;64.2857143;35.7142857
60;0.2;3.80096752;0;2.90255701;6.08154803;1.03662751;63.4416033;36.5583967
90;0.3;3.1182016;0.29006526;2.53807107;5.72878898;0.79767948;63.6693256;36.3306744
120;0.4;3.73134328;0.07462687;2.08955224;4.7761194;0.82089552;63.4328358;36.5671642
164.5;0.5;2.20949264;0;0.49099836;4.09165303;0.16366612;70.7855974;29.2144026
209;0.6;2.52659574;0.53191489;0.13297872;2.2606383;0.33244681;75.4654255;24.5345745
253.5;0.7;2.59938838;0.2293578;0.0764526;1.75840979;0.5351682;66.0550459;33.9449541
298;0.8;2.04485488;0.19788918;0;1.18733509;0.13192612;68.6675462;31.3324538
342.5;0.9;2.09537572;0.14450867;0;1.51734104;0.28901734;65.8959538;34.1040462
387;1;2.43204578;0.71530758;0.07153076;1.50214592;0.07153076;65.9513591;34.0486409
431.5;1.1;3.75354108;1.62889518;0;1.06232295;0.35410765;55.1699717;44.8300283
476;1.2;4.05315615;0.33222591;0.13289037;0.66445183;0.13289037;56.5448505;43.4551495
520.5;1.3;1.04417671;0.32128514;0;0.40160643;0.64257028;58.4738956;41.5261044
565;1.4;2.44274809;0.45801527;0.07633588;0.61068702;0.15267176;51.2977099;48.7022901
609.5;1.5;3.28707085;0;0.07304602;0.80350621;0.36523009;50.9130752;49.0869248
654;1.6;3.66218236;0.07473842;0.07473842;1.04633782;0.07473842;64.7234679;35.2765321
698.5;1.7;2.90297937;0.30557678;0;0.45836516;0.61115355;57.1428571;42.8571429
743;1.8;5.85284281;0.4180602;0;0.58528428;0.16722408;45.90301;54.09699
787.5;1.9;2.8852459;0.26229508;0;0.45901639;0.19672131;47.4754098;52.5245902
832;2;6.33172746;0;0.06882312;0.34411562;0.68823125;51.0667584;48.9332416
876.5;2.1;2.88978495;0.0672043;0;0.2688172;0.53763441;52.8897849;47.1102151
921;2.2;5.23917995;0;0;0.91116173;0.91116173;36.9779803;63.0220197
965.5;2.3;2.76988636;0.35511364;0.14204545;0.42613636;1.63352273;37.9971591;62.0028409
1010;2.4;3.17337461;0;0.07739938;0.77399381;0.69659443;27.7863777;72.2136223
1106.5;2.5;1.66805671;0;0.08340284;0.25020851;0.41701418;13.2610509;86.7389491
1245.25;2.6;1.66251039;0;0;0.08312552;0.4156276;13.0507066;86.9492934
1384;2.7;2.22861251;0;0;0.14378145;0.50323508;12.86844;87.13156
1565;2.8;2.69331017;0;0;0.26064292;0.43440487;13.8140747;86.1859253
1650.9375;2.9;11.3881962;0;0;0.91438071;0.33250208;10.556941;89.443059
