"age_VT22";"GICC05 age (yr b2k)";"Delta O18 (permil)";"Dust count (ml^-1)"
9477.33333333333;9527.33333333333;-34.47;NA
9477.88888888889;9527.88888888889;-34.77;NA
9479;9529;-35.14;NA
9479.55555555555;9529.55555555555;-35.18;NA
9480.14285714285;9530.14285714285;-35.41;NA
9480.85714285714;9530.85714285714;-35.74;NA
9481.5;9531.5;-35.37;NA
9482.16666666667;9532.16666666667;-34.64;NA
9483;9533;-33.61;NA
9483.71428571428;9533.71428571428;-33.5;NA
9484.33333333333;9534.33333333333;-34.65;NA
9484.88888888889;9534.88888888889;-34.98;NA
9485.66666666667;9535.66666666667;-34.99;NA
9486.33333333333;9536.33333333333;-35.38;NA
9486.88888888889;9536.88888888889;-35.29;NA
9487.44444444444;9537.44444444444;-35.12;NA
9488;9538;-35.54;NA
9488.625;9538.625;-35.84;NA
9489.33333333333;9539.33333333333;-35.31;NA
9490.25;9540.25;-35.17;NA
9491.33333333333;9541.33333333333;-34.72;NA
9492.1;9542.1;-34.22;NA
9492.6;9542.6;-34.44;NA
9493.125;9543.125;-34.74;NA
9493.75;9543.75;-34.81;NA
9494.375;9544.375;-34.07;NA
9495;9545;-33.61;NA
9495.55555555555;9545.55555555555;-34.87;NA
9496.07142857143;9546.07142857143;-36.51;NA
9496.42857142857;9546.42857142857;-36.95;NA
9496.78571428571;9546.78571428571;-36.26;NA
9497.18181818182;9547.18181818182;-34.69;NA
9497.63636363636;9547.63636363636;-34.06;NA
9498.1;9548.1;-34.21;NA
9498.6;9548.6;-35.02;NA
9499.11111111111;9549.11111111111;-35.99;NA
9499.66666666667;9549.66666666667;-36.01;NA
9500.16666666667;9550.16666666667;-35.75;NA
9500.58333333333;9550.58333333333;-35.66;NA
9501;9551;-34.63;NA
9501.83333333333;9551.83333333333;-34.02;NA
9502.36363636364;9552.36363636364;-33.64;NA
9502.81818181818;9552.81818181818;-32.88;NA
9503.6;9553.6;-32.15;NA
9504.6;9554.6;-32.17;NA
9505.3;9555.3;-32.37;NA
9505.8;9555.8;-32.34;NA
9506.42857142857;9556.42857142857;-31.88;NA
9507.16666666667;9557.16666666667;-31.94;NA
9508;9558;-32.4;NA
9508.55555555555;9558.55555555555;-33.4;NA
9509.125;9559.125;-34.2;NA
9509.75;9559.75;-34.86;NA
9510.33333333333;9560.33333333333;-35.3;NA
9510.88888888889;9560.88888888889;-35.05;NA
9511.8;9561.8;-34.67;NA
9512.5;9562.5;-35.08;NA
9513.14285714286;9563.14285714286;-35.75;NA
9513.85714285714;9563.85714285714;-35.7;NA
9514.66666666666;9564.66666666666;-35.21;NA
9515.3;9565.3;-34.58;NA
9515.8;9565.8;-33.47;NA
