"mean_VT22";"P-F2";"P-F3";"Mn-F2";"Mn-F3"
12607.4;NA;NA;NA;NA
12631.8;NA;NA;NA;NA
12656.4;NA;NA;NA;NA
12675.4;NA;NA;NA;NA
12704.4;NA;NA;NA;NA
12728.8;NA;NA;NA;NA
12753.4;766.051078188044;NA;1142.73230686426;NA
12778.4;264.254227535783;NA;1655.18008983747;NA
12802.4;160.519792160307;40.5112492020241;523.125954149393;19.3554331607629
12826.4;164.653761652956;41.5545614693552;536.59835344771;19.8539060850469
12850.4;155.691154776892;50.5206627740058;470.240411266962;50.8880264209505
12873.4;366.919861228867;44.849053439681;305.485230047609;24.4483706560319
12895.4;146.578051759329;6.63129973474801;437.088609122368;24.2789338992042
12914.4;148.008218325184;29.0644729290224;441.353296144607;24.515824205089
12933.4;145.148021986067;28.5028142589118;432.824330008979;24.0420662514071
12952.4;378.554900018375;94.3501918753697;587.188482834082;76.4555140209032
12971.4;382.553188121399;95.3467164208848;593.390354015869;77.2630353925867
12989.4;137.558427095926;32.1257585980937;721.486265383795;45.5308366957903
13010.4;NA;NA;NA;NA
13011.001;NA;NA;NA;NA
13011.002;NA;NA;NA;NA
13011.003;NA;NA;NA;NA
13011.004;NA;NA;NA;NA
13011.005;NA;NA;NA;NA
13011.006;NA;NA;NA;NA
13011.007;NA;NA;NA;NA
13011.008;NA;NA;NA;NA
13011.009;NA;NA;NA;NA
13027.8;171.451407383578;6.97489039457951;324.197436394625;4.24193811080112
13061.8;145.981959122838;6.9888178913738;295.05470713764;3.36521341853035
13093.4;NA;6.33943126245245;NA;7.66588749864155
13122.4;NA;NA;NA;NA
13150.8;108.915009897722;NA;164.837341476553;NA
13179.8;139.484679669703;NA;208.495109538629;NA
13208.4;101.725521053515;34.2270022652044;119.637143980015;8.15164451844467
13237.4;159.051640705981;6.96794744176787;207.743778275519;7.86610657774239
13265.4;131.408404505585;6.70755078574166;204.574384762348;26.0223243349942
13293.8;121.34338439896;35.9286445803642;143.363269866477;5.78802358273951
13322.4;154.185222043745;6.8748772343351;255.205584913166;12.851293737969
13350.4;133.467728377091;6.92657827033446;209.941641307617;9.17880689887196
13379.4;119.862546638572;40.696706902023;258.761698510532;11.6472324990083
13408.4;138.346891685894;31.9493306894496;227.202132899124;12.8117598211802
13436.4;163.743922816275;6.88163586315375;231.120047719133;37.0496729374754
13463.8;163.579565939306;6.77637947725073;334.44284976945;28.4797108964182
13490.4;150.517665860462;6.86409099823495;305.94391445597;24.8537930496176
13515.4;115.609761589761;43.2674435406699;258.513828559916;23.7190057376396
13540.4;149.369852253931;37.9858964636542;277.534118850694;74.3418423575639
13565.4;152.531053885279;35.2317945714286;454.295402232667;57.1728453571429
13589.8;131.06620847532;42.9584928614039;486.335559870173;129.051886379002
13615.4;124.190431086289;46.3788484030946;279.924092890254;103.25660960127
13640.4;156.669557028492;36.8541275113659;399.552150066551;68.2293134216248
13664.4;NA;6.99440447641887;NA;29.5464360391687
13690.4;154.950994369711;6.94168980563269;325.233461068709;22.3931466640222
13716.4;109.31646093735;38.6482899558287;382.791268401302;28.4767019973113
13741.8;159.869666051272;39.4359486184597;352.601918202259;29.0570619831472
13766.8;NA;NA;NA;NA
13790.4;100.370820336229;6.85065570561754;316.796337227154;16.0418130867097
13812.4;NA;6.97767145135566;NA;NA
13833.4;148.294863257191;6.96378830083565;421.491890100961;27.5804368085953
13855.4;117.55426000622;57.8133517836143;395.199315054171;47.5791814582517
13877.4;167.898657269656;44.8406281027668;446.102898551158;44.4996184980237
13898.4;123.842893187343;30.2567752001593;480.320645750876;50.7754658434575
13920.4;123.35399043766;6.87757909215956;282.829126530432;18.2020312359992
13942.4;135.678571841275;6.95963412209187;342.39424197799;14.0343640763571
13964.4;147.964229298951;6.93481276005548;335.995640283786;21.1600330572617
13985.8;115.414014969582;6.9293209265492;284.083919833318;15.3107811245298
14007.4;110.947875380481;6.94306685181512;298.509806683551;21.2553385558421
14029.4;NA;NA;NA;NA
14051.4;190.871393754016;6.82394228894521;473.994939785391;37.6372028348606
14073.4;116.735136606191;43.5216667182662;349.318844222891;49.3924015479876
14095.4;NA;NA;NA;NA
14117.4;99.539282157501;6.84128225175919;302.518444327099;31.8389485340109
14139.4;124.808997893037;64.0317363886704;345.722452932195;103.249819236821
14161.4;118.688368003444;29.7210183189407;330.459841450812;43.8640791402802
14183.4;174.249061068325;39.6325667959225;415.075583952193;124.890571936838
14205.4;146.444397626087;6.88840779374139;510.982952720083;NA
14227.4;NA;NA;NA;NA
14248.4;137.660737454411;6.7842605156038;351.266635195028;41.9165121535181
14270.4;NA;NA;NA;NA
