"age";"kyr (B2k)";"Myr";"insolation (W/M2) Hozlmaar annual";"July insolation";"January insolation"
-50;0;0;305.593898;475.740844;92.577739
50;100;-0.1;305.30587;475.88649;92.519656
150;200;-0.2;305.016104;476.043473;92.460125
250;300;-0.3;304.724815;476.211995;92.399129
350;400;-0.4;304.432219;476.39227;92.336647
450;500;-0.5;304.138537;476.584519;92.27266
550;600;-0.6;303.844;476.788958;92.20715
650;700;-0.7;303.548852;477.005796;92.140097
750;800;-0.8;303.25335;477.235222;92.071488
850;900;-0.9;302.957771;477.477399;92.001307
950;1000;-1;302.662407;477.732455;91.929547
1050;1100;-1.1;302.367348;478.002274;91.855973
1150;1200;-1.2;302.073251;478.284924;91.780828
1250;1300;-1.3;301.78045;478.58024;91.704142
1350;1400;-1.4;301.489268;478.888018;91.625949
1450;1500;-1.5;301.200017;479.208022;91.546291
1550;1600;-1.6;300.912994;479.539988;91.465214
1650;1700;-1.7;300.628484;479.883631;91.382768
1750;1800;-1.8;300.346752;480.238655;91.299005
1850;1900;-1.9;300.068052;480.604751;91.213981
1950;2000;-2;299.792622;480.981613;91.127749
2050;2100;-2.1;299.520162;481.368641;91.040487
2150;2200;-2.2;299.251419;481.765929;90.952111
2250;2300;-2.3;298.986658;482.1732;90.862665
2350;2400;-2.4;298.726141;482.590176;90.772189
2450;2500;-2.5;298.470126;483.016579;90.680725
2550;2600;-2.6;298.218867;483.452131;90.588312
2650;2700;-2.7;297.972612;483.896564;90.494988
2750;2800;-2.8;297.731605;484.349613;90.400789
2850;2900;-2.9;297.496083;484.811026;90.305749
2950;3000;-3;297.266276;485.280562;90.209902
3050;3100;-3.1;297.042705;485.756101;90.113466
3150;3200;-3.2;296.825214;486.239447;90.016274
3250;3300;-3.3;296.614003;486.730568;89.918335
3350;3400;-3.4;296.409283;487.229435;89.819654
3450;3500;-3.5;296.211274;487.736007;89.720239
3550;3600;-3.6;296.020207;488.250224;89.620095
3650;3700;-3.7;295.836325;488.771989;89.519231
3750;3800;-3.8;295.659876;489.30116;89.417659
3850;3900;-3.9;295.491116;489.837536;89.315396
3950;4000;-4;295.330302;490.380847;89.212466
4050;4100;-4.1;295.178454;490.933559;89.108463
4150;4200;-4.2;295.035101;491.492102;89.003902
4250;4300;-4.3;294.90038;492.055755;88.898869
4350;4400;-4.4;294.7744;492.623759;88.793455
4450;4500;-4.5;294.657228;493.195331;88.687757
4550;4600;-4.6;294.548904;493.769684;88.581873
4650;4700;-4.7;294.449434;494.346039;88.4759
4750;4800;-4.8;294.358802;494.923637;88.369934
4850;4900;-4.9;294.276972;495.501756;88.264068
4950;5000;-5;294.203899;496.079714;88.158386
5050;5100;-5.1;294.137709;496.655437;88.053397
5150;5200;-5.2;294.080256;497.230136;87.94869
5250;5300;-5.3;294.031678;497.803349;87.844292
5350;5400;-5.4;293.992129;498.374609;87.74023
5450;5500;-5.5;293.961775;498.943438;87.636526
5550;5600;-5.6;293.940786;499.509339;87.533203
5650;5700;-5.7;293.929332;500.071798;87.430286
5750;5800;-5.8;293.927577;500.630278;87.327799
5850;5900;-5.9;293.935669;501.18422;87.225772
5950;6000;-6;293.953736;501.733049;87.124238
6050;6100;-6.1;293.983903;502.275124;87.023033
6150;6200;-6.2;294.024025;502.81076;86.92244
6250;6300;-6.3;294.073968;503.339494;86.822515
6350;6400;-6.4;294.133578;503.860898;86.723317
6450;6500;-6.5;294.20269;504.374576;86.624898
6550;6600;-6.6;294.281133;504.880156;86.527313
6650;6700;-6.7;294.368737;505.377289;86.430611
6750;6800;-6.8;294.465338;505.865635;86.334842
6850;6900;-6.9;294.570785;506.344854;86.240052
6950;7000;-7;294.684945;506.814601;86.146285
7050;7100;-7.1;294.806356;507.276857;86.05356
7150;7200;-7.2;294.936451;507.728788;85.961929
7250;7300;-7.3;295.07525;508.169746;85.871444
7350;7400;-7.4;295.222772;508.599048;85.782156
7450;7500;-7.5;295.379024;509.01598;85.694123
7550;7600;-7.6;295.543999;509.419805;85.607404
7650;7700;-7.7;295.717668;509.80978;85.522064
7750;7800;-7.8;295.899978;510.185163;85.438168
7850;7900;-7.9;296.090847;510.54523;85.355787
7950;8000;-8;296.29016;510.889286;85.27499
8050;8100;-8.1;296.498381;511.215437;85.195881
8150;8200;-8.2;296.714651;511.52441;85.118501
8250;8300;-8.3;296.938712;511.815772;85.042916
8350;8400;-8.4;297.170281;512.089155;84.969193
8450;8500;-8.5;297.409057;512.344261;84.897393
8550;8600;-8.6;297.654724;512.580863;84.827576
