"Age varve yr BP";"Betula%"
11006.2955;48.9079
11026.8245;45.5241
11043.9319;33.6807
11091.8328;50.2614
11108.9403;62.1047
11143.1552;62.7815
11184.2131;46.5392
11215.0065;35.711
11249.2214;37.4029
11293.7008;42.1403
11331.3372;36.7262
11382.6595;28.605
11406.61;25.898
11451.0893;29.6202
11481.8827;27.2515
11519.5191;30.6353
11540.0481;46.8776
11574.263;44.5089
11601.6349;18.792
11618.7424;25.898
11642.6928;20.8223
11656.3788;31.9888
11670.0647;28.9434
11690.5937;27.2515
11717.9656;29.2818
11741.916;27.2515
11759.0235;27.5899
11782.9739;23.5293
11806.9244;35.711
11841.1393;18.792
11861.6682;21.499
11889.0401;22.1758
11923.255;27.2515
11947.2055;17.1001
11984.8419;16.0849
12001.9493;23.8677
12022.4783;18.1152
12063.5362;21.8374
12080.6436;18.1152
12097.7511;8.6406
12125.123;14.393
12152.4949;18.1152
12169.6024;25.898
12186.7098;14.393
12214.0817;9.6557
12241.4537;20.1455
12268.8256;20.1455
12296.1975;20.1455
12323.5694;15.7466
12344.0984;22.5142
12364.6273;17.7768
12388.5778;22.8526
12409.1067;18.1152
12443.3216;15.7466
12457.0076;20.1455
12477.5365;14.0546
12501.487;20.8223
12522.0159;16.0849
12552.8093;8.3022
12573.3383;19.4687
12590.4457;16.0849
12610.9747;21.499
12632.5301;14.6468
12655.8817;14.3169
12685.9053;22.235
12702.5851;25.8641
12729.2727;31.4728
12752.6244;28.5035
12782.648;44.0098
12816.0075;57.8665
12842.6951;48.2988
12866.0468;37.7413
12912.7501;38.0712
12942.7737;29.8232
12992.813;41.0405
13019.5006;30.483
13076.2119;51.598
13106.2354;51.2681
13162.9466;45.6594
13182.9624;59.5161
13212.9859;58.1964
13256.3533;57.5366
13286.3769;36.4216
13323.0724;37.7413
13336.4162;51.598
13356.4319;48.9586
13386.4555;32.1326
13399.7993;44.3397
13419.8151;30.483
13433.1589;57.8665
13449.8386;39.061
13463.1824;48.2988
13486.5341;38.7311
13509.8858;44.6697
13536.5734;62.4854
13549.9172;35.1019
13566.597;47.9689
13586.6127;62.4854
13609.9644;34.1122
13626.6442;43.6799
13643.3239;37.4114
13660.0037;58.8563
13680.0194;32.4626
13706.707;28.1736
13723.3868;20.9153
13743.4025;38.0712
13756.7463;8.3783
13780.098;12.9972
13806.7856;27.5137
13833.4733;31.4728
13863.4969;22.235
13893.5204;27.1838
13906.8643;12.6673
13930.2159;25.8641
13953.5676;15.9665
13970.2474;9.698
13993.599;17.946
14023.6226;9.3681
14040.3024;12.9972
14070.326;10.6878
14083.6698;17.2862
14110.3574;5.7389
14140.381;9.3681
14170.4046;6.3988
14183.7484;18.2759
14203.7641;11.6775
14240.4596;6.7287
14280.491;10.0279
14320.5225;12.3374
14343.8741;16.2964
14373.8977;9.698
14403.9213;7.7185
14453.9606;5.7389
14507.3359;4.7492
14550.7033;4.7492
14594.0706;4.0893
14640.774;3.0996
14660.7897;6.0689
